player,name,avatar,rank,title,country,rating,games_played_recent,wins_recent,draws_recent,losses_recent,games_played_total,wins_total,draws_total,losses_total,avg_score,country_code,flag_url
gurelediz,Ediz Gürel,https://images.chesscomfiles.com/uploads/v1/user/50386860.8f4bcdc7.200x200o.52a55edd9e84.jpg,6,GM,Türkiye,3226,183,81,23,79,5369,2697,531,2141,0.505464480874317,türkiye,https://flagcdn.com/h20/türkiye.png
h4parah5,Jaime Santos Latasa,,215,GM,Spain,2988,1,0,0,1,1282,766,153,363,0.0,spain,https://flagcdn.com/h20/spain.png
hakanazeri2,Khagan Ahmad,,222,IM,Nauru,2979,379,173,42,164,9932,4447,938,4547,0.5118733509234829,nauru,https://flagcdn.com/h20/nauru.png
howitzer14,David Howell,https://images.chesscomfiles.com/uploads/v1/user/28029696.7d014d88.200x200o.8b2bdd8c4291.jpeg,188,GM,England,3000,609,281,80,248,11374,7639,1217,2518,0.5270935960591133,england,https://flagcdn.com/h20/england.png
igorkovalenko,Igor Kovalenko,https://images.chesscomfiles.com/uploads/v1/user/19872960.0f80f9d5.200x200o.936a5b6bbfa2.jpg,118,GM,Ukraine,3034,666,314,85,267,24597,12705,2639,9253,0.5352852852852853,ukraine,https://flagcdn.com/h20/ukraine.png
ilqar_74,Rustam Rustamov,https://images.chesscomfiles.com/uploads/v1/user/289541317.0e2be1fc.200x200o.f8f3141dc642.jpg,237,FM,Azerbaijan,2972,273,114,38,121,4780,2579,663,1538,0.4871794871794871,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
iturrizaga,Eduardo Iturrizaga Bonelli,https://images.chesscomfiles.com/uploads/v1/user/21442874.e8e8081f.200x200o.8502de65ad72.jpeg,153,GM,Spain,3010,17,6,4,7,1171,698,114,359,0.4705882352941176,spain,https://flagcdn.com/h20/spain.png
jcibarra,José Carlos Ibarra Jerez,https://images.chesscomfiles.com/uploads/v1/user/10956296.cf7a03bb.200x200o.f12d860b0cff.jpeg,195,GM,Spain,2998,524,240,55,229,10234,6540,1048,2646,0.5104961832061069,spain,https://flagcdn.com/h20/spain.png
jefferyx,Jeffery Xiong,https://images.chesscomfiles.com/uploads/v1/user/11474230.1802ddb7.200x200o.60d5d5608100.jpeg,19,GM,United States,3156,155,75,13,67,4856,3237,704,915,0.5258064516129032,united states,https://flagcdn.com/h20/united states.png
joppie2,Jorden Van Foreest,https://images.chesscomfiles.com/uploads/v1/user/5094518.0c33d60a.200x200o.4c3ca924f2cd.png,70,GM,Netherlands,3080,232,115,12,105,12614,6444,1224,4946,0.521551724137931,netherlands,https://flagcdn.com/h20/netherlands.png
