player,name,avatar,rank,title,country,rating,games_played_recent,wins_recent,draws_recent,losses_recent,games_played_total,wins_total,draws_total,losses_total,avg_score,country_code,flag_url
MrTattaglia,Adam Kozak,https://images.chesscomfiles.com/uploads/v1/user/38994812.35a18e56.200x200o.cbd8dd2da800.jpg,103,GM,Hungary,3041,343,170,33,140,9560,4976,837,3747,0.543731778425656,hungary,https://flagcdn.com/h20/hungary.png
Msb2,Matthias Bluebaum,,79,GM,Germany,3075,543,237,69,237,16580,9975,1871,4734,0.5,germany,https://flagcdn.com/h20/germany.png
Mudinoss,Cyprian Mulawa,,186,FM,Poland,3000,167,81,27,59,1264,564,152,548,0.5658682634730539,poland,https://flagcdn.com/h20/poland.png
Murad_Ibrahimli,Murad İbrahimli,https://images.chesscomfiles.com/uploads/v1/user/52514278.c4698c50.200x200o.7c37ea27211d.png,178,IM,Azerbaijan,3002,558,249,71,238,23491,10846,2953,9692,0.5098566308243727,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
Mykola-Bortnyk,Mykola Bortnyk,https://images.chesscomfiles.com/uploads/v1/user/35895346.3571bef9.200x200o.a1ca3885e2f9.png,76,IM,United States,3076,233,112,29,92,15974,7835,1825,6314,0.5429184549356223,united states,https://flagcdn.com/h20/united states.png
Nakachuk,Rahul Srivatshav P,https://images.chesscomfiles.com/uploads/v1/user/19133728.0be16d38.200x200o.c7848999cb4d.jpeg,193,GM,India,2998,10,6,1,3,3076,1538,261,1277,0.65,india,https://flagcdn.com/h20/india.png
NeoTerNemo,Alexey Grachev,https://images.chesscomfiles.com/uploads/v1/user/380140917.705f4e62.200x200o.ef5c39ea2cfb.jpg,144,IM,Russia,3014,59,24,11,24,787,456,59,272,0.5,russia,https://flagcdn.com/h20/russia.png
NikoTheodorou,Nikolas Theodorou,https://images.chesscomfiles.com/uploads/v1/user/108520120.b86cc966.200x200o.d85a0c84f2ae.jpg,13,GM,Greece,3178,198,90,21,87,8113,3844,1187,3082,0.5075757575757576,greece,https://flagcdn.com/h20/greece.png
Njal28,Aram Hakobyan,https://images.chesscomfiles.com/uploads/v1/user/103326926.0aaf388c.200x200o.5fbf19318d41.jpg,67,GM,Armenia,3085,89,45,8,36,6499,3043,893,2563,0.550561797752809,armenia,https://flagcdn.com/h20/armenia.png
OhanyanEminChess,Emin Ohanyan,https://images.chesscomfiles.com/uploads/v1/user/47687198.ae0851d2.200x200o.d1fe5fbb646f.jpg,232,GM,Armenia,2975,142,66,14,62,8706,4219,762,3725,0.5140845070422535,armenia,https://flagcdn.com/h20/armenia.png
Oleksandr_Bortnyk,Oleksandr Bortnyk,https://images.chesscomfiles.com/uploads/v1/user/28168290.451f25f9.200x200o.8f240686cf4e.jpg,39,GM,United States,3130,712,319,67,326,15133,10568,1522,3043,0.4950842696629213,united states,https://flagcdn.com/h20/united states.png
OparinGrigoriy,Grigoriy Oparin,https://images.chesscomfiles.com/uploads/v1/user/3952699.32551ce3.200x200o.ff1c21155ff0.jpeg,97,GM,United States,3047,65,26,7,32,8383,5081,1197,2105,0.4538461538461538,united states,https://flagcdn.com/h20/united states.png
Parhamov,Parham Maghsoodloo,https://images.chesscomfiles.com/uploads/v1/user/32230490.26c10df6.200x200o.7bb7031c30e8.jpg,21,GM,Iran,3150,413,195,34,184,8886,4560,948,3378,0.513317191283293,iran,https://flagcdn.com/h20/iran.png
Philippians46,Andy Woodward,https://images.chesscomfiles.com/uploads/v1/user/207852275.b5fd5b9c.200x200o.2658380fdb00.png,14,GM,United States,3171,1,1,0,0,2505,1408,257,840,1.0,united states,https://flagcdn.com/h20/united states.png
Polish_fighter3000,Jan-Krzysztof Duda,https://images.chesscomfiles.com/uploads/v1/user/47485766.de241c41.200x200o.7b706ebf58e7.jpeg,37,GM,Poland,3132,91,50,10,31,5002,3080,573,1349,0.6043956043956044,poland,https://flagcdn.com/h20/poland.png
PursuitOfHappyness2,Abhimanyu Mishra,https://images.chesscomfiles.com/uploads/v1/user/49788594.25ff3d86.200x200o.4a9380e9fd18.png,35,GM,United States,3136,193,91,21,81,1238,670,158,410,0.5259067357512953,united states,https://flagcdn.com/h20/united states.png
QuesadaLuisE,Luis Ernesto Quesada Pérez,https://images.chesscomfiles.com/uploads/v1/user/402153977.5b04a41e.200x200o.89847a2c3b3d.jpg,196,GM,Cuba,2996,94,56,3,35,433,291,23,119,0.6117021276595744,cuba,https://flagcdn.com/h20/cuba.png
RaunakSadhwani2005,Raunak Sadhwani,https://images.chesscomfiles.com/uploads/v1/user/61085366.7e6977ec.200x200o.fa27239336b6.jpeg,25,GM,India,3146,47,18,7,22,3500,1873,523,1104,0.4574468085106383,india,https://flagcdn.com/h20/india.png
Reader777,Read Samadov,https://images.chesscomfiles.com/uploads/v1/user/23579934.435e3768.200x200o.3916fc4666f3.jpeg,200,IM,Iceland,2995,177,77,26,74,8785,4061,1111,3613,0.5084745762711864,iceland,https://flagcdn.com/h20/iceland.png
Robert_Chessmood,Robert Hovhannisyan,https://images.chesscomfiles.com/uploads/v1/user/33193257.81247660.200x200o.397918768511.jpeg,162,GM,Armenia,3006,118,62,19,37,6759,2633,1150,2976,0.6059322033898306,armenia,https://flagcdn.com/h20/armenia.png
RobertoJBM,Roberto Junio Brito Molina,https://images.chesscomfiles.com/uploads/v1/user/23921402.a5553189.200x200o.1e338b92f90c.png,234,IM,Brazil,2975,646,298,93,255,20343,10130,2859,7354,0.5332817337461301,brazil,https://flagcdn.com/h20/brazil.png
Rsnr,Arsene Kukhmazov,https://images.chesscomfiles.com/uploads/v1/user/28030170.df5f1e03.200x200o.5dd5b1b512ed.jpg,94,IM,Russia,3050,318,155,46,117,12078,5992,1641,4445,0.559748427672956,russia,https://flagcdn.com/h20/russia.png
Rud_Makarian,Rudik Makarian,https://images.chesscomfiles.com/uploads/v1/user/64925746.687b0c9f.200x200o.14deca7f7dc1.jpg,36,IM,Russia,3134,1216,559,152,505,27332,13890,3636,9806,0.522203947368421,russia,https://flagcdn.com/h20/russia.png
SGchess01,Szymon Gumularz,,109,GM,Poland,3037,267,134,36,97,13987,7210,1879,4898,0.5692883895131086,poland,https://flagcdn.com/h20/poland.png
SPEEDSKATER,Nicolas Checa,https://images.chesscomfiles.com/uploads/v1/user/1680974.3ccd61c3.200x200o.a3414c94398d.jpeg,248,GM,United States,2962,3,0,0,3,8107,4490,947,2670,0.0,united states,https://flagcdn.com/h20/united states.png
Salem-AR,Salem AR Saleh,https://images.chesscomfiles.com/uploads/v1/user/27168196.a7e8c448.200x200o.5971d272bf8c.jpg,59,GM,United Arab Emirates,3096,536,258,46,232,11053,5668,1074,4311,0.5242537313432836,united arab emirates,https://flagcdn.com/h20/united arab emirates.png
Sam_ChessMood,Samvel Ter-Sahakyan,https://images.chesscomfiles.com/uploads/v1/user/34737498.bb196000.200x200o.2aa2d5edfed0.jpg,203,GM,Armenia,2993,91,37,19,35,3599,1911,578,1110,0.510989010989011,armenia,https://flagcdn.com/h20/armenia.png
