rank,username,title,country,rating,games_played,wins,losses,draws
120,AryanTari,GM,Norway,3032,8844,5049,2936,859
121,GMharikrishna,GM,India,3031,1835,785,785,265
122,snowlord,FM,International,3031,13286,6501,5216,1569
123,zvonokchess1996,GM,Montenegro,3030,2043,1222,589,232
124,GOGIEFF,GM,Ukraine,3029,1867,1178,493,196
125,ricky8632200,,China,3027,482,320,129,33
126,wudileige,GM,China,3027,535,275,176,84
127,michaelq2d5,GM,United States,3027,13151,6793,4724,1634
128,A-Adly,GM,Egypt,3026,1151,655,401,95
129,Igor_Janik,GM,Poland,3025,12440,6538,4547,1355
130,Sargsyan_Shant,GM,Armenia,3024,782,500,184,98
131,DonkyDonkyDonkey,IM,Türkiye,3023,3414,1797,1299,318
132,KuybokarovTemur,GM,Australia,3023,998,536,367,95
133,KNVB,GM,Canada,3023,27357,19064,6777,1516
134,Ehsan_GhaemMaghami,GM,Iran,3023,9119,4300,3639,1180
135,rednova1729,GM,United States,3020,3097,1670,1020,407
136,GogiaMetutune,GM,Georgia,3020,1811,1012,617,182
137,Cayse,GM,Ukraine,3019,2757,1657,851,249
138,Bauman_Guy,IM,International,3018,2800,1393,1052,355
139,Adham_Fawzy,GM,Palestine,3016,7779,3519,3444,816
140,Gordima,GM,International,3016,3167,1677,1168,322
141,Chopper1905,GM,Türkiye,3016,7787,4769,2427,591
142,shimastream,GM,Russia,3015,7619,4230,2537,852
143,ChessSharkz,GM,United States,3015,6173,4542,1323,308
144,NeoTerNemo,IM,Russia,3014,787,456,272,59
145,LionTheLeon_06,GM,Antigua/Barbuda,3014,3377,1766,1222,389
146,bardiya_Daneshvar,GM,Iran,3013,1132,651,347,134
147,yosephtaher,IM,Indonesia,3013,5271,3659,1103,509
148,mind1mover,IM,Serbia,3013,10259,5596,3745,918
149,MrLion3000,CM,International,3012,3612,1763,1500,349
150,Zlatan56,GM,France,3012,1752,880,590,282
151,SeanWinshand,GM,Indonesia,3011,5513,3473,1401,639
152,GeorgMeier,GM,Uruguay,3011,8579,4336,2846,1397
153,iturrizaga,GM,Spain,3010,1171,698,359,114
154,tigrangharamian,GM,France,3010,1154,634,371,149
155,vinniethepooh,GM,India,3010,10645,4968,4379,1298
156,KogotBobra17,FM,Russia,3009,3522,1922,1324,276
157,Dr_Tyger,GM,China,3009,7939,4373,2800,766
158,Antipov_Mikhail_Al,GM,United States,3008,5392,3133,1806,453
159,scarabee43,IM,France,3007,1496,922,404,170
160,Swiss_Fighter,IM,Switzerland,3007,4531,2811,1291,429
161,dostis,GM,Greece,3007,3757,1651,1558,548
162,Robert_Chessmood,GM,Armenia,3006,6759,2633,2976,1150
163,MarkusRagger,GM,Austria,3006,3214,1746,1058,410
164,liczner,IM,Poland,3005,8303,4180,3446,677
165,spectralsoul,IM,Colombia,3005,2679,1482,973,224
166,chenxiaoyuer,IM,United States,3004,4703,2484,1598,621
167,DrawDenied-Twitch,GM,Germany,3004,12420,6852,4557,1011
168,gmmoranda,GM,Poland,3004,1329,723,448,158
169,HVillagra,GM,Chile,3004,6473,3221,2575,677
170,fireheart92,GM,India,3004,2074,939,847,288
171,MightyGMpretender,NM,Poland,3003,13050,6982,4912,1156
172,yavrukurt40,FM,Türkiye,3003,1056,512,440,104
173,temus_galaktionov,FM,United Arab Emirates,3003,5258,2358,2302,598
174,StasSB,FM,International,3003,1515,752,589,174
175,DavidGavrilescu18,GM,Romania,3003,345,225,95,25
176,Jagadeesh_Siddharth,GM,Singapore,3002,1810,901,671,238
177,JaloliddinIlkhomi,FM,Tajikistan,3002,7362,2977,3627,758
178,Murad_Ibrahimli,IM,Azerbaijan,3002,23491,10846,9692,2953
179,MomchilPetkov,GM,Bulgaria,3002,13928,6085,6767,1076
180,Arfan48,IM,Indonesia,3001,819,466,265,88
181,GMAkobianSTL,GM,United States,3001,2515,1349,858,308
182,Kopylov_Alex,IM,Russia,3001,12026,6779,4114,1133
183,KhalilMousavi98,GM,Iran,3000,727,404,263,60
184,Som2310,GM,Poland,3000,2094,1160,618,316
185,FormerProdigy,GM,Czech Republic,3000,1591,957,413,221
186,Mudinoss,FM,Poland,3000,1264,564,548,152
187,sergiochess83,GM,Hungary,3000,8771,3650,3456,1665
188,howitzer14,GM,England,3000,11374,7639,2518,1217
189,Valentin_Baidetskyi,IM,Austria,3000,1961,949,819,193
190,TrahtarBelarus,IM,Belarus,2999,3332,1792,1203,337
191,Talibovv06,IM,Azerbaijan,2999,7781,3557,3285,939
192,klimkoj,GM,Poland,2999,4833,2582,1799,452
193,Nakachuk,GM,India,2998,3076,1538,1277,261
194,AlexKhripachenko,IM,Russia,2998,2452,1302,945,205
195,jcibarra,GM,Spain,2998,10234,6540,2646,1048
196,QuesadaLuisE,GM,Cuba,2996,433,291,119,23
197,Marcan2b,GM,France,2996,12222,6475,4924,823
198,Shankland,GM,United States,2996,4736,2547,1494,695
199,Keranke,IM,Russia,2995,15927,7770,6852,1305
200,Reader777,IM,Iceland,2995,8785,4061,3613,1111
201,DrVelja,GM,Serbia,2994,5206,2833,1912,461
202,Anton_Demchenko,GM,Slovenia,2994,15035,7720,5596,1719
203,Sam_ChessMood,GM,Armenia,2993,3599,1911,1110,578
204,monomita,IM,India,2993,2325,1105,939,281
205,g3god,GM,India,2992,6287,2811,2658,818
206,rezamahdavi2008,IM,Iran,2992,4387,2471,1561,355
207,tptagain,GM,Spain,2991,8526,5005,2551,970
208,Hatsummei,IM,Russia,2991,3628,1764,1592,272
209,MoonlessMay05,GM,Israel,2991,3953,2046,1504,403
210,AsadliVugar,GM,Azerbaijan,2990,6761,3659,2383,719
211,FGHSMN,GM,India,2990,10800,5851,4106,843
212,daro94,GM,United States,2989,7126,3444,2752,930
213,penguingm1,GM,United States,2988,9257,5696,2922,639
214,MolecularChemist,IM,United States,2988,6026,3164,2122,740
215,h4parah5,GM,Spain,2988,1282,766,363,153
